MangaName,MangaLink,n_chapter
zako-ni-ha-tanya-ga-oniaida-www-to-iwareta-tanya-level-9999-no-ore-tsuiho-saretanode-boken-sha-ni-tenshoku-suru-saikyo-buki-de-muso-shinagara-guild-de-tanoshiku-kurashimasu,https://lhtranslation.net/manga/zako-ni-ha-tanya-ga-oniaida-www-to-iwareta-tanya-level-9999-no-ore-tsuiho-saretanode-boken-sha-ni-tenshoku-suru-saikyo-buki-de-muso-shinagara-guild-de-tanoshiku-kurashimasu/,16
7th-demon-prince-jilbagias-the-demon-kingdom-destroyer,https://lhtranslation.net/manga/7th-demon-prince-jilbagias-the-demon-kingdom-destroyer/,10
a-middle-aged-hero-betrayed-by-his-favourite-pupil-is-revived-as-historys-strongest-demon-lord,https://lhtranslation.net/manga/a-middle-aged-hero-betrayed-by-his-favourite-pupil-is-revived-as-historys-strongest-demon-lord/,22
a-talented-ogre-hides-its-horns,https://lhtranslation.net/manga/a-talented-ogre-hides-its-horns/,1
akuma-wa-rozario-ni-kiss-wo-suru,https://lhtranslation.net/manga/akuma-wa-rozario-ni-kiss-wo-suru/,4
akuyaku-onzoushi-no-kanchigai-seija-seikatsu-nidome-no-jinsei-wa-yaritai-houdai-shitai-dake-na-no-ni,https://lhtranslation.net/manga/akuyaku-onzoushi-no-kanchigai-seija-seikatsu-nidome-no-jinsei-wa-yaritai-houdai-shitai-dake-na-no-ni/,8
almadianos-eiyuuden,https://lhtranslation.net/manga/almadianos-eiyuuden/,17
boku-igai-zennin-tenseisha-ka-yo,https://lhtranslation.net/manga/boku-igai-zennin-tenseisha-ka-yo/,26
boku-no-kawaii-musume-wa-futago-no-kenja,https://lhtranslation.net/manga/boku-no-kawaii-musume-wa-futago-no-kenja/,10
class-saiyasune-de-urareta-ore-wa-jitsu-wa-saikyou-parameter,https://lhtranslation.net/manga/class-saiyasune-de-urareta-ore-wa-jitsu-wa-saikyou-parameter/,3
did-you-think-you-could-run-after-reincarnating-nii-san,https://lhtranslation.net/manga/did-you-think-you-could-run-after-reincarnating-nii-san/,4
gaikotsu-kishi-sama-tadaima-isekai-e-o-dekake-chuu,https://lhtranslation.net/manga/gaikotsu-kishi-sama-tadaima-isekai-e-o-dekake-chuu/,73
garbage-brave-isekai-ni-shoukan-sare-suterareta-yuusha-no-fukushuu-monogatari,https://lhtranslation.net/manga/garbage-brave-isekai-ni-shoukan-sare-suterareta-yuusha-no-fukushuu-monogatari/,45
